"name"	"rt_width"	"mz_width"	"mz_width_ppm"	"mz_ppm"	"multi_pk_count"	"all"	"venous"	"RBC"	"capillary"	"plasma"	"delta_rt"
"Serine"	3.6466300000005	0.000682374433701369	6.4344618200316	1.96109473936637	0	100	100	100	100	100	-1
"Sorbitol"	5.67928037383178	0.00103309849758619	5.03782559735501	1.16424016066656	2	66.6666666666667	36.3636363636364	88.6363636363636	63.6363636363636	13.6363636363636	-6
"Spermine"	3.62700000000001	0.00105930729719717	5.212534842268	0.197846206038151	0	0	0	0	2.27272727272727	0	16
"Sphingosine"	5.36085116279023	0.00125077603302882	4.16522559648862	1.86796280229515	15	100	100	100	100	100	-8
"Sphingosine-1-phosphate"	3.26529032258013	0.00232107334098094	6.10396567083977	1.52406477553734	40	83.3333333333333	75	65.9090909090909	75	0	3
"Sucrose"	5.08541176470555	0.00166126669865373	4.55009052328435	2.20123669239457	46	12.5	0	61.3636363636364	95.4545454545455	0	-3
"Taurine"	4.9090850000001	0.000759606894332521	6.02756518369908	1.79897867336732	0	100	100	100	100	100	-3
"Threonine"	5.1393300000003	0.000295551682968522	2.46158577598855	1.37413782154753	0	100	100	100	100	100	-1
"Tryptophan"	4.41799999999866	0.000815849029156245	3.97786288830216	1.22375084399093	72	100	100	59.0909090909091	100	100	-6
"Tyrosine"	5.92693809523714	0.00142715615064319	7.8380585402971	4.67821792804814	10	100	100	100	100	100	-8
"Valine"	6.10451773049596	0.000555493711813235	4.7041328783975	1.55933085733488	84	100	79.5454545454545	100	100	84.0909090909091	-16
"Xanthosine"	5.9288750000005	0.00136918394893731	4.45923824019835	66.6250513488172	3	100	72.7272727272727	38.6363636363636	97.7272727272727	0	-12
